代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399264,创业软件,1450.77,-5.224,-0.359,1455.994,1469.071,1470.994,1441.74,809415975,16618187290
sz399265,创新药械,1083.458,-7.527,-0.69,1090.985,1097.297,1101.572,1082.267,392778524,9262183012
sz399266,创新能源,3626.792,-20.75,-0.569,3647.542,3682.241,3707.314,3619.627,853238388,43090373181
sz399267,专精特新,2058.499,-6.827,-0.331,2065.326,2092.111,2096.549,2054.124,1039825712,32747727914
sz399268,深小巨人,1935.879,-12.26,-0.629,1948.139,1972.113,1975.942,1932.065,961226797,34265544999
sz399269,创质量,7437.759,9.9,0.133,7427.859,7621.076,7656.55,7412.202,817613453,72186495708
sz399274,深新基建,5512.116,14.211,0.258,5497.905,5610.81,5633.429,5488.067,689441796,51646725623
sz399275,创医药,2733.171,-13.628,-0.496,2746.799,2761.52,2768.888,2729.93,384426049,7840509208
sz399276,创科技,7617.468,-6.065,-0.08,7623.533,7788.073,7823.5,7596.198,758396696,53655928857
sz399277,公共健康,2838.939,4.804,0.17,2834.135,2846.585,2857.467,2827.474,601462247,15696841464
sz399278,长江100,2070.94,9.479,0.46,2061.461,2085.474,2090.382,2065.811,2002397507,79594503461
sz399279,云科技50,4496.55,-3.32,-0.074,4499.87,4593.917,4613.445,4477.595,854935861,47083005292
sz399280,生物50,2166.041,-6.289,-0.29,2172.33,2183.304,2192.262,2161.17,433492070,7495667932
sz399281,电子50,4261.729,7.615,0.179,4254.114,4326.452,4340.407,4250.695,965677954,25116924183
sz399282,大数据50,5061.558,-31.116,-0.611,5092.674,5133.215,5142.629,5040.18,901544228,19083036843
sz399283,机器人50,4110.885,-14.832,-0.36,4125.717,4157.31,4164.064,4104.659,515194204,13879014024
sz399284,AI 50,3723.211,-12.231,-0.327,3735.442,3766.673,3772.158,3710.808,742443022,19269401736
sz399285,物联网50,5654.565,6.972,0.123,5647.593,5764.976,5788.169,5630.021,698418525,43008183106
sz399286,区块链50,3976.545,-5.281,-0.133,3981.826,4004.899,4009.928,3961.549,1287089754,20523966066
sz399290,深转交债,191.686,-0.213,-0.111,191.899,192.152,193.067,191.338,50540609,11314068926
sz399291,创精选88,4349.772,-36.91,-0.841,4386.682,4406.923,4417.343,4342.416,1043353555,27829584644
sz399292,民企发展,1441.494,-3.713,-0.257,1445.207,1450.98,1454.611,1437.943,5162996663,64938398784
sz399293,创业大盘,6131.001,-17.567,-0.286,6148.568,6280.7,6302.063,6118.823,690360281,71405468522
sz399294,中小创Q,3549.156,-39.394,-1.098,3588.55,3621.436,3623.279,3541.535,621208960,37824998105
sz399295,创价值,5225.18,-56.896,-1.077,5282.076,5331.662,5335.641,5219.019,570200804,48433189247
sz399296,创成长,5653.16,2.807,0.05,5650.353,5817.532,5847.254,5628.766,652715964,70232787926
sz399297,新浪100,6057.468,-16.798,-0.277,6074.266,6091.703,6096.838,6036.55,912109447,7318842994
sz399298,深信中高,213.693,0.018,0.008,213.675,213.692,213.693,213.69,1020000,102897821
sz399299,深信中低,245.918,0.019,0.008,245.899,245.918,245.918,245.918,0,0
sz399300,沪深300,4596.212,7.92,0.173,4588.292,4619.54,4620.653,4584.551,10836216200,242248962024
sz399301,深信用债,217.549,0.019,0.009,217.53,217.548,217.549,217.546,1020000,102897821
sz399302,深公司债,220.955,0.019,0.009,220.936,220.952,220.955,220.949,1020000,102897821
sz399303,国证2000,9549.736,-44.217,-0.461,9593.953,9645.509,9660.938,9520.139,23365661622,323322219939
sz399306,深证ETF,1801.204,-0.716,-0.04,1801.92,1815.202,1817.674,1797.232,30923024384,66476090534
sz399307,深证转债,355.754,-0.403,-0.113,356.157,356.688,358.093,355.038,116460151,24676573807
sz399310,国证A50,7876.193,-18.747,-0.237,7894.94,7964.946,7969.1,7856.805,1819673951,79392832541
sz399311,国证1000,4866.75,2.27,0.047,4864.48,4898.343,4900.909,4854.852,23914573213,460638096907
sz399312,国证300,5351.559,-2.866,-0.054,5354.425,5397.252,5400.302,5339.205,7464683990,233061016584
sz399313,巨潮100,5445.684,7.821,0.144,5437.863,5472.402,5474.288,5431.349,4986857749,116006187319
sz399314,巨潮大盘,5099.818,10.036,0.197,5089.782,5124.279,5126.762,5086.091,8788074223,193289821661
sz399315,巨潮中盘,4566.692,-4.418,-0.097,4571.11,4606.362,4610.633,4557.276,5739346681,122797770885
sz399316,巨潮小盘,5789.938,-15.032,-0.259,5804.97,5843.707,5847.069,5777.722,9387152309,144550504360
sz399317,国证Ａ指,6686.578,-7.019,-0.105,6693.597,6735.051,6740.903,6671.454,69129780027,1010950871019
sz399318,国证Ｂ指,5192.861,-11.909,-0.229,5204.77,5204.729,5210.537,5188.697,15930359,63984850
sz399319,资源优势,3176.869,7.985,0.252,3168.884,3164.521,3203.741,3164.303,3990762144,57049345453
sz399320,国证服务,2211.757,4.304,0.195,2207.453,2208.27,2214.917,2206.199,1729469684,13696776798
sz399321,国证红利,7862.405,62.772,0.805,7799.633,7802.972,7862.405,7791.347,3886974206,38901904129
sz399322,国证治理,10423.62,-16.155,-0.155,10439.775,10490.577,10491.092,10398.176,1768448746,60716696668
sz399324,深证红利,9135.803,29.675,0.326,9106.128,9134.76,9159.1,9113.115,541283771,12561891773
sz399326,成长40,5761.928,17.38,0.303,5744.548,5845.194,5857.498,5747.177,591475734,42128547243
sz399328,深证治理,10992.565,-83.246,-0.752,11075.811,11171.558,11173.296,10972.014,653423176,40642329534
sz399330,深证100,5711.24,-10.507,-0.184,5721.747,5789.707,5794.016,5697.92,2335785270,104776546798
sz399333,中小100R,9673.685,-14.34,-0.148,9688.025,9764.695,9772.658,9651.628,2014312865,61169686054
sz399335,深证央企,4170.388,-1.902,-0.046,4172.29,4199.943,4203.896,4158.371,904137589,15067798195
sz399337,深证民营,6362.463,-13.17,-0.207,6375.633,6470.394,6478.848,6348.684,2033938353,117787654274
sz399339,深证科技,8637.027,-71.536,-0.821,8708.563,8808.43,8816.802,8622.242,2092567933,90027191013
sz399341,深证责任,1678.996,5.012,0.299,1673.984,1685.006,1689.448,1675.193,1719110277,53977531933
sz399344,深证300R,7267.286,-9.485,-0.13,7276.771,7355.802,7362.613,7250.574,6108325683,191342123048
sz399346,深证成长,4279.438,-18.572,-0.432,4298.01,4356.863,4363.107,4269.895,2049391072,115508936757
sz399348,深证价值,6398.575,26.155,0.41,6372.42,6398.938,6418.749,6379.764,2131199026,32845405635
sz399350,皖江30,2953.365,-15.023,-0.506,2968.388,2994.694,3005.342,2948.555,691787016,19800692199
sz399351,创新示范,10481.53,-0.79,-0.008,10482.32,10599.248,10605.859,10456.765,2212194486,57377431772
sz399352,深企综指,10601.815,-4.442,-0.042,10606.257,10713.501,10720.738,10573.103,4693685243,97097900358
sz399353,国证物流,2143.547,-3.473,-0.162,2147.02,2147.271,2152.429,2137.601,830593864,5812952544
sz399354,分析师指数,8416.346,15.776,0.188,8400.57,8427.936,8438.001,8389.543,3461092389,117518495500
sz399355,长三角,3645.517,13.726,0.378,3631.791,3656.605,3658.641,3630.549,1191625314,28789560935
sz399356,珠三角,10292.42,27.047,0.263,10265.373,10350.227,10350.227,10261.244,1264660013,39418181608
sz399357,环渤海,3583.125,26.984,0.759,3556.141,3583.352,3588.703,3564.771,3400003064,44912340223
sz399358,国证环保,5665.732,-61.459,-1.073,5727.191,5760.412,5760.412,5653.955,1702160483,59360177376
sz399359,国证基建,2714.317,11.939,0.442,2702.378,2704.07,2714.317,2701.83,1234159949,8953456813
sz399360,新硬件,7320.641,-46.917,-0.637,7367.558,7441.956,7451.542,7303.285,1529912328,46962710430
sz399361,在线消费,3766.481,-19.056,-0.503,3785.537,3806.908,3811.713,3754.454,1422696902,16070108359
